StreetCode,StreetName
100001,NY STATE ELLIS ISLAND BOUNDARY
100008,PATH-JOURNAL SQ- 33 ST LINE
100009,MANHATTAN CRUISE TERMINAL RAMP
100013,FDNY TRAINING ACADEMY BOUNDARY
100016,NORTH END WAY
100018,DEP WARDS ISLAND WPCP BOUNDARY
100020,CROSS BRONX EXPWY ET 2 EB
100021,LIRR-PENN CENTRAL LINE
100023,HENRY HUDSON PARKWAY ET 10 NB
100024,DRIVEWAY
100025,HENRY HUDSON PARKWAY ET 10 SB
100026,HENRY HUDSON PARKWAY ET 14 SB
100036,HELL GATE BRIDGE
100038,PETER MINUIT PLACE
100039,6 1/2 AVENUE
100059,BIKE PATH
100072,NORTH LOOP ROAD
100076,SOUTH LOOP ROAD
100077,WEST LOOP ROAD
100085,EAST LOOP ROAD
100102,BATTERY PARK CITY GREENWAY
100103,BATTERY PARK GREENWAY
100200,WASHINGTON BR PED AND BIKE PATH
100210,WEST 158 STREET PEDESTRIAN UNP
100211,WEST 155 STREET PEDESTRIAN UNP
100212,PEDESTRIAN UNDERPASS
100236,RANDALLS ISLAND GREENWAY
100244,HUDSON RIVER GREENWAY
100245,HIGH BRIDGE GREENWAY
100246,HENRY HUDSON PARKWAY GREENWAY
100247,FORT WASHINGTON PARK GREENWAY
100248,HARLEM RIVER DRIVE GREENWAY
100249,FDR DRIVE GREENWAY
100285,E HOUSTON STREET PEDESTRIAN OVPS
100359,BROOKLYN WATERFRONT GREENWAY
100376,NJ TRANSIT-PENN CENTRAL LINE
100416,NYS OFFICE OF MENTAL HEALTH BNDY
100792,AMTRAK BRIDGE
101018,HRD NB EN FREDERICK DOUGLASS BL
101040,GOVERNORS ISLAND FERRY ROUTE
101043,STATEN ISLAND FERRY ROUTE
104081,FREEDOM PLACE SOUTH
110010,1 AVENUE
110015,1 PLACE
110020,RAMP
110025,CONNECTOR
110065,HIGH LINE
110110,2 AVENUE
110115,2 PLACE
110210,3 AVENUE
110250,3 PLACE
110350,4 AVENUE
110380,HENRY HUDSON PARKWAY ET 11 NB
110385,HENRY HUDSON PARKWAY ET 12 NB
110390,HENRY HUDSON PARKWAY ET 13 NB
110395,HENRY HUDSON PARKWAY ET 14 NB
110400,HENRY HUDSON PARKWAY ET 15 NB
110405,HENRY HUDSON PARKWAY ET 16 NB
110410,5 AVENUE
110425,HENRY HUDSON PARKWAY ET 17 NB
110440,HENRY HUDSON PARKWAY ET 11 SB
110445,HENRY HUDSON PARKWAY ET 12 SB
110450,HENRY HUDSON PARKWAY ET 13 SB
110455,HENRY HUDSON PKWY ET 14 N SB
110465,HENRY HUDSON PKWY ET 14 S SB
110470,HENRY HUDSON PARKWAY ET 17 SB
