summonsnumber,housenumber,streetname,intersecStreet,street1,street2,street3,longitude,latitude,precinct,gsRetCode,message
1361271097,237,WEST 42ND STREET,,WEST 42 STREET,7 AVENUE,8 AVENUE,40.756785,-73.988702,014,00,
1359495691,2015,2ND AVE,,2 AVENUE,EAST 103 STREET,EAST 104 STREET,40.789072,-73.943585,023,00,
1355319500,57-15,SHORE FRONT PKWY,,SHORE FRONT PARKWAY,BOARDWALK,BEACH 59 STREET,40.589248,-73.787478,101,01,57-15 SHORE FRONT PARKWAY IS ON RIGHT SIDE OF BOARDWALK
1351260352,333,W 56TH ST,,WEST 56 STREET,8 AVENUE,9 AVENUE,40.766506,-73.984433,018,00,
1351260339,330,W 56TH ST,,WEST 56 STREET,8 AVENUE,9 AVENUE,40.766473,-73.984405,018,00,
1353275966,35-58,72ST,,72 STREET,,,40.750429,-73.893919,115,00,
1353273143,,C/O 50,BWAY,,,,40.761423,-73.984048,018,01,THESE STREETS INTERSECT ONCE-COMPASS DIRECTION IGNORED
1359492641,60,E 106 ST,,EAST 106 STREET,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,40.793254,-73.948695,023,00,
1358009387,219,W 41 ST,,WEST 41 STREET,7 AVENUE,8 AVENUE,40.755714,-73.988230,014,00,
1358009363,229,W 43 ST,,WEST 43 STREET,7 AVENUE,8 AVENUE,40.757136,-73.987446,014,00,
1355183170,1001,AVE H,,AVENUE H,EAST 10 STREET,CONEY ISLAND AVENUE,40.629459,-73.966928,070,00,
1351379550,107,CROSBY,,CROSBY STREET,PRINCE STREET,JERSEY STREET,40.723994,-73.996843,005,00,
1351836640,,N/W C/O KING ST,HUDSON,,,,0.000000,0.000000,00,62,HUDSON BOULEVARD & KING STREET DO NOT INTERSECT
1351836638,68,VANDAM ST,,VANDAM STREET,VARICK STREET,HUDSON STREET,40.726541,-74.006877,001,00,
1358023694,5,W 35 ST,,WEST 35 STREET,5 AVENUE,AVENUE OF THE AMERICAS,40.749346,-73.984636,014,00,
1358023682,5,W 35 ST,,WEST 35 STREET,5 AVENUE,AVENUE OF THE AMERICAS,40.749346,-73.984636,014,00,
1358019691,4,TIMES SQUARE,,,WEST 43 STREET,WEST 44 STREET,40.756181,-73.986244,014,01,4 TIMES SQUARE IS ON RIGHT SIDE OF BROADWAY
1358019137,601,8TH AVE,,8 AVENUE,WEST 39 STREET,WEST 40 STREET,40.755514,-73.991056,014,00,
1359208987,10,WEST 51 ST,,WEST 51 STREET,5 AVENUE,ROCKEFELLER PLAZA,40.759349,-73.977201,018,00,
1351779266,174,HUDSON ST,,HUDSON STREET,LAIGHT STREET,VESTRY STREET,40.722371,-74.008150,001,00,
1351777452,47,TRINITY,,,,,0.000000,0.000000,00,41,THIS STREET HAS NO ADDRESSES
1349784140,43,AVE C,,AVENUE C,EAST 3 STREET,EAST 4 STREET,40.722008,-73.980378,009,00,
1349784138,263,E 10 ST,,EAST 10 STREET,1 AVENUE,AVENUE A,40.728384,-73.983493,009,00,
