Precinct,PrecinctFull,boro,borocode
1,1st Precinct,Manhattan,1
5,5th Precinct,Manhattan,1
6,6th Precinct,Manhattan,1
7,7th Precinct,Manhattan,1
9,9th Precinct,Manhattan,1
10,10th Precinct,Manhattan,1
13,13th Precinct,Manhattan,1
14,14th Precinct,Manhattan,1
17,17th Precinct,Manhattan,1
18,18th Precinct,Manhattan,1
19,19th Precinct,Manhattan,1
20,20th Precinct,Manhattan,1
22,22nd Precinct,Manhattan,1
23,23rd Precinct,Manhattan,1
24,24th Precinct,Manhattan,1
25,25th Precinct,Manhattan,1
26,26th Precinct,Manhattan,1
28,28th Precinct,Manhattan,1
30,30th Precinct,Manhattan,1
32,32nd Precinct,Manhattan,1
33,33rd Precinct,Manhattan,1
34,34th Precinct,Manhattan,1
40,40th Precinct,Bronx,2
41,41st Precinct,Bronx,2
42,42nd Precinct,Bronx,2
43,43rd Precinct,Bronx,2
44,44th Precinct,Bronx,2
45,45th Precinct,Bronx,2
46,46th Precinct,Bronx,2
47,47th Precinct,Bronx,2
48,48th Precinct,Bronx,2
49,49th Precinct,Bronx,2
50,50th Precinct,Bronx,2
52,52nd Precinct,Bronx,2
60,60th Precinct,Brooklyn,3
61,61st Precinct,Brooklyn,3
62,62nd Precinct,Brooklyn,3
63,63rd Precinct,Brooklyn,3
66,66th Precinct,Brooklyn,3
67,67th Precinct,Brooklyn,3
68,68th Precinct,Brooklyn,3
69,69th Precinct,Brooklyn,3
70,70th Precinct,Brooklyn,3
71,71st Precinct,Brooklyn,3
72,72nd Precinct,Brooklyn,3
73,73rd Precinct,Brooklyn,3
75,75th Precinct,Brooklyn,3
76,76th Precinct,Brooklyn,3
77,77th Precinct,Brooklyn,3
78,78th Precinct,Brooklyn,3
79,79th Precinct,Brooklyn,3
81,81st Precinct,Brooklyn,3
83,83rd Precinct,Brooklyn,3
84,84th Precinct,Brooklyn,3
88,88th Precinct,Brooklyn,3
90,90th Precinct,Brooklyn,3
94,94th Precinct,Brooklyn,3
100,100th Precinct,Queens,4
101,101st Precinct,Queens,4
102,102nd Precinct,Queens,4
103,103rd Precinct,Queens,4
104,104th Precinct,Queens,4
105,105th Precinct,Queens,4
106,106th Precinct,Queens,4
107,107th Precinct,Queens,4
108,108th Precinct,Queens,4
109,109th Precinct,Queens,4
110,110th Precinct,Queens,4
111,111th Precinct,Queens,4
112,112th Precinct,Queens,4
113,113th Precinct,Queens,4
114,114th Precinct,Queens,4
115,115th Precinct,Queens,4
120,120th Precinct,Staten Island,5
122,122nd Precinct,Staten Island,5
123,123rd Precinct,Staten Island,5
